,id,name,terminalName,lat,long,installed,locked,installDate,removalDate,temporary,nbBikes,nbEmptyDocks,nbDocks
220,229,"Whitehall Place, Strand",001151,51.50654321,-0.123179697,true,false,1279617780000,,false,14,8,24
221,230,"Poured Lines, Bankside",001144,51.50669284,-0.103137426,true,false,1279618020000,,false,0,30,31
222,231,"Queen's Gate (Central), South Kensington",001089,51.49396755,-0.17873226,true,false,1279622820000,,false,16,13,31
223,232,"Carey Street, Holborn",001139,51.51501025,-0.112753217,true,false,1279623240000,,false,4,11,16
224,233,"Pall Mall East, West End",001153,51.50777049,-0.130699733,true,false,1279624260000,,false,2,18,22
225,234,"Liverpool Road (N1 Centre), Angel",001081,51.53450449,-0.106992706,true,false,1279624680000,,false,19,3,24
226,235,"Kennington Road  , Vauxhall",001154,51.49571828,-0.110889274,true,false,1279625640000,,false,20,16,36
227,236,"Fashion Street, Whitechapel",003483,51.51838043,-0.073438925,true,false,1279625940000,,false,6,24,30
228,237,"Dock Street, Wapping",003467,51.5097860151,-0.0681619805156,true,false,1279799040000,,false,16,13,30
229,238,"Frampton Street, Paddington",001099,51.5233534,-0.175116099,true,false,1279627920000,,false,5,27,32
230,239,"Warren Street Station, Euston",001090,51.52443845,-0.138019439,true,false,1279628160000,,false,9,11,25
231,240,"Colombo Street, Southwark",003472,51.50545935,-0.10569204,true,false,1279628280000,,false,11,3,14
232,242,"Beaumont Street, Marylebone",003482,51.52200801,-0.151359288,true,false,1279628640000,,false,5,18,23
233,243,"Gloucester Street, Pimlico",001103,51.49096258,-0.139625122,true,false,1279628940000,,false,23,2,25
234,244,"Earnshaw Street , Covent Garden",001145,51.51611887,-0.128585022,true,false,1279629240000,,false,6,10,18
235,245,"Grosvenor Road, Pimlico",001140,51.4853572,-0.142207481,true,false,1279629660000,,false,27,2,29
236,246,"Berry Street, Clerkenwell",001159,51.52285301,-0.099994052,true,false,1279639740000,,false,21,16,41
237,247,"St. John's Wood Church, The Regent's Park",001091,51.530052,-0.168314,true,false,1279639920000,,false,23,23,50
238,248,"Triangle Car Park, Hyde Park",001088,51.50645179,-0.170279555,true,false,1279640160000,,false,1,19,27
239,249,"Harper Road, The Borough",001137,51.49859784,-0.096191134,true,false,1279640400000,,false,28,14,42
240,250,"Royal Avenue 1, Chelsea",003440,51.489932,-0.162727,true,false,1279641000000,,false,7,3,10
241,251,"Brushfield Street, Liverpool Street",001161,51.518908,-0.079249,true,false,1279700160000,,false,9,24,34
242,252,"Jubilee Gardens, South Bank",001111,51.5046364,-0.116542278,true,false,1279700640000,,false,28,1,30
243,253,"Shoreditch Park, Hoxton",001051,51.53404294,-0.086379717,true,false,1279700820000,,false,28,0,30
244,254,"Chadwell Street, Angel",003471,51.53051587,-0.106408455,true,false,1279700940000,,false,10,8,18
245,255,"Clifton Road, Maida Vale",001147,51.52557531,-0.179592915,true,false,1279702560000,,false,18,4,22
246,256,"Houghton Street, Strand",003484,51.51362054,-0.116764211,true,false,1279708020000,,false,3,12,15
247,257,"Westminster University, Marylebone",001194,51.52248185,-0.154907218,true,false,1279708140000,,false,5,11,16
248,258,"Kensington Gore, Knightsbridge",001193,51.50143293,-0.178656971,true,false,1279708380000,,false,4,19,23
249,260,"Broadwick Street, Soho",003489,51.5136846,-0.135580879,true,false,1279711020000,,false,3,14,18
250,261,"Princes Square, Bayswater",003491,51.5134891,-0.191351186,true,false,1279711200000,,false,14,2,16
251,262,"LSBU (Borough Road), Elephant & Castle",001095,51.49874469,-0.103132904,true,false,1279711620000,,false,21,14,35
252,263,"St. Mary Axe, Aldgate",001184,51.51422502,-0.080660083,true,false,1279712160000,,false,8,12,21
